zip_code,total_population,median_household_income,median_age,bachelors_degree,masters_degree,median_gross_rent,unemployed,total_pop_race,hispanic_latino,college_educated_pct
02108,4218,170379,38.7,960,758,2545,232,4218,325,40.73020388809863
02109,3559,162179,35.4,1333,593,3154,40,3559,77,54.11632481033999
02110,2337,126157,51.6,690,582,2939,161,2337,64,54.42875481386393
02111,8417,72321,30.7,1290,1122,1873,258,8417,847,28.656290839966736
02113,6688,106625,30.0,2537,893,2316,120,6688,543,51.285885167464116
02114,13356,121418,32.7,4739,2549,2698,265,13356,1314,54.56723569931117
02115,27838,51454,22.1,4475,2065,1992,1499,27838,3954,23.49306703067749
02116,22286,131648,34.4,5225,4321,2255,472,22286,1748,42.83406622992013
02118,28392,74155,37.3,6243,2983,1485,1449,28392,5124,32.49506903353057
02119,26821,37158,34.7,3520,1465,1182,1397,26821,8614,18.58618246896089
02120,14364,51698,23.8,1642,687,1407,865,14364,3421,16.21414647730437
02121,29820,42411,33.2,2480,1241,1282,1220,29820,10031,12.478202548625084
02122,24705,81025,36.6,3913,2099,1900,1002,24705,3666,24.335154826958107
02124,55336,72189,36.3,6663,3646,1629,2590,55336,10999,18.62982506867139
02125,31903,64983,33.6,5175,3003,1762,1311,31903,6918,25.633952919788104
02126,24994,66689,36.9,2385,1425,1566,1695,24994,4576,15.243658478034728
02127,36175,145357,32.4,12978,5213,2255,1034,36175,3421,50.28610919143055
02128,45357,84023,33.7,7648,2912,1942,2326,45357,24681,23.28196309279714
02129,19832,146815,35.8,5268,3390,1900,309,19832,1866,43.656716417910445
02130,41479,114933,35.0,8847,7976,2216,1103,41479,8480,40.557872658453675
02131,31637,101566,38.5,5747,4109,1821,889,31637,7136,31.1533963397288
02132,26488,132457,43.6,6290,4151,1947,703,26488,2454,39.4178495922682
02134,17969,80027,27.8,5072,3037,2211,722,17969,1722,45.127719962157045
02135,44480,87603,30.2,13574,6931,2154,1216,44480,5275,46.09937050359712
02136,39498,91579,37.7,5705,2699,1588,1515,39498,9173,21.277026684895436
02163,1994,67969,26.5,672,329,2952,75,1994,335,50.20060180541625
02199,1221,111786,40.4,393,335,3413,6,1221,30,59.62325962325963
02203,0,-666666666,-666666666.0,0,0,-666666666,0,0,0,0.0
02210,5706,179643,37.4,2076,1583,3501,159,5706,202,64.12548194882581
02215,24522,64138,21.9,3363,2422,2308,1268,24522,2944,23.59106108800261
02467,21709,171250,29.9,3271,3002,2846,373,21709,1265,28.895849647611588
