name,acres,neighborhood_id,sqmiles,Shape_Length,Shape_Area,shape_wkt
Roslindale,1605.568237499999896,15,2.510000000000000,0.169120200208979,0.000709217614608,
Jamaica Plain,2519.245393770000192,11,3.940000000000000,0.179578227878964,0.001113247924748,
Mission Hill,350.853563599999973,13,0.550000000000000,0.059235047063125,0.000155099293798,
Longwood,188.611946719999992,28,0.290000000000000,0.038816302840219,0.000083387233028,
Bay Village,26.539839160000000,33,0.040000000000000,0.015625047520758,0.000011735455819,
Leather District,15.639908110000000,27,0.020000000000000,0.010477927094291,0.000006915894398,
Chinatown,76.324409990000007,26,0.120000000000000,0.032740522863704,0.000033749276306,
North End,126.910439010000005,14,0.200000000000000,0.052807048526637,0.000056124859204,
Roxbury,2108.469071760000134,16,3.290000000000000,0.153269410808812,0.000931883445999,
South End,471.535355610000011,32,0.740000000000000,0.058464505283652,0.000208479454618,
Back Bay,399.314411059999998,2,0.620000000000000,0.063374442022256,0.000176571819555,
East Boston,3012.059593190000214,8,4.710000000000000,0.394692118098336,0.001334194575502,
Charlestown,871.541222859999948,4,1.360000000000000,0.186461595213775,0.000385561699449,
West End,190.490732400000013,31,0.300000000000000,0.059143298175638,0.000084252077232,
Beacon Hill,200.156903970000002,30,0.310000000000000,0.045895267736325,0.000088516870624,
Downtown,397.472846440000012,7,0.620000000000000,0.112373591095373,0.000175773302113,
Fenway,560.618461430000025,34,0.880000000000000,0.081384936562602,0.000247878950884,
Brighton,1840.408596270000089,25,2.880000000000000,0.158172011061588,0.000813789666198,
West Roxbury,3516.421786179999799,19,5.490000000000000,0.212543253972449,0.001553226795773,
Hyde Park,2927.221167730000161,10,4.570000000000000,0.209005187235534,0.001292479100100,
Mattapan,1352.098353650000035,12,2.110000000000000,0.137579050493698,0.000597202506140,
Dorchester,4662.879457299999558,6,7.290000000000000,0.333581268539737,0.002060215942645,
South Boston Waterfront,621.843523730000015,29,0.970000000000000,0.125951270258673,0.000274956643860,
South Boston,1439.888807309999947,17,2.250000000000000,0.212398700706368,0.000636552305208,
Allston,998.534478690000014,24,1.560000000000000,0.122310950454451,0.000441599797148,
Harbor Islands,824.888657940000030,22,1.290000000000000,0.297930934951251,0.000364630871659,
