neighborhood,Shape_Length,Shape_Area,shape_wkt
Allston,0.113840557563330,0.000389892001930,
Back Bay,0.054830660007761,0.000145395383591,
Beacon Hill,0.037223991892674,0.000080117827771,
Brighton,0.152514410409402,0.000809297088931,
Charlestown,0.110220490059477,0.000520700139741,
Chinatown,0.029769739790034,0.000031264144584,
Dorchester,0.256765038982957,0.002224430616928,
Downtown,0.102491295502240,0.000217306846344,
East Boston,0.242243812956229,0.001838898984547,
Fenway,0.316805694156560,0.000429409787566,
Harbor Islands,0.368377811935201,0.000946169693705,
Hyde Park,0.214933828440560,0.001439401858317,
Jamaica Plain,0.249529096889820,0.000999039398301,
Longwood,0.041669291766188,0.000055408472123,
Mattapan,0.163854050267757,0.000778476843789,
Mission Hill,0.061469328064945,0.000170177083057,
North End,0.040362143059776,0.000086003476519,
Roslindale,0.149750185711538,0.000619930472069,
Roxbury,0.171812651569063,0.000983026964555,
South Boston,0.153582175239118,0.000647488306605,
South Boston Waterfront,0.116811059933182,0.000534542458901,
South End,0.075146685095101,0.000239139128120,
West End,0.044883419286384,0.000085035791687,
West Roxbury,0.216024567398815,0.001477334739468,
